"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ImageServicesTest","122","0","122"
"Total service\Protocol","122","0","122"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"BootServicesTest\ImageServicesTest","5.1.4.5.23","0","0","EA28A835-CFAA-4D4A-8FF3-13EA847E8FF2","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8137:Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.24","0","0","17A5A71F-C831-469A-BF84-72C6C3D5D5AC","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8166:NotifyTimes - 1, Expected is 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.25","0","0","D9143E4B-AB3D-4A80-A6EE-E3D892508B47","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8196:Status - Success, EntryCount - 0, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.26","0","0","CE9000BA-B4A8-4F89-AF2A-994A8CF87BCD","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8219:Expected - Boot Services Driver 6's Error Code is EFI_NOT_FOUND, Received - Boot Services Driver 6's Error Code is EFI_NOT_FOUND, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.27","0","0","B9868240-9B8D-4E5D-8B22-21CE0AEE0A91","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8256:GetVariable() Name - BootServicesDriver6CalledAfterExit, Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.28","0","0","5A639776-7D9C-4775-AA37-2DB9552864EA","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8472:Status - Success, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.29","0","0","85AEDEEB-351B-4359-8DB6-BC4D58876431","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8502:Status - Success, NoHandles - 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.30","0","0","89F38A82-295A-4388-8A25-3E23E1EB96EF","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8532:Status - Success, EntryCount - 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.31","0","0","957AB7AA-0EEF-48CC-B225-A011D881E681","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8567:GetVariable() Name - RuntimeServicesDriver5CalledAfterExit, Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.32","0","0","04FB22AB-6CF6-411F-8590-289C0203CC36","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8832:Status - Unsupported, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.33","0","0","683163F8-1E56-49E3-A79E-9FEA90464A18","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8861:NotifyTimes - 1, Expected is 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.34","0","0","047DA922-FDCC-4BE2-BB14-297918F8031C","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8892:Status - Success, EntryCount - 0, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.35","0","0","1A133E13-CB01-4297-AF19-03D746068BAA","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8916:Expected: Runtime Services Driver 6's Error Code is EFI_UNSUPPORTED, Received: Runtime Services Driver 6's Error Code is EFI_UNSUPPORTED,TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.36","0","0","85C85F4D-519B-4B98-BC7A-9447CC27F61E","PASS","BS.Exit - Exit() exits an EFI runtime services driver in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:8953:GetVariable() Name - RuntimeServicesDriver6CalledAfterExit, Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.1.1","0","0","8D5F5A0D-225E-4383-9D14-2746D748B7A3","PASS","BS.LoadImage - LoadImage() returns EFI_INVALID_PARAMETER with invalid ParentImageHandle.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:161:Status - Invalid Parameter","0x00010001","225239AD-DCB8-4367-8FD8-8E190E1A0308"
"BootServicesTest\ImageServicesTest","5.1.4.1.2","0","0","B04DA351-E5A5-43A3-8898-4137BBBA7E86","PASS","BS.LoadImage - LoadImage() returns EFI_INVALID_PARAMETER with NULL FilePath.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:195:Status - Invalid Parameter","0x00010001","225239AD-DCB8-4367-8FD8-8E190E1A0308"
"BootServicesTest\ImageServicesTest","5.1.4.1.3","0","0","755F66BD-AD6E-4FA3-B5AF-D9DD22A83858","PASS","BS.LoadImage - LoadImage() returns EFI_NOT_FOUND with irrelevant FilePath.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:224:Status - Not Found","0x00010001","225239AD-DCB8-4367-8FD8-8E190E1A0308"
